Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Sousou no Frieren,9.26,2023-09-29,28,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Shounen']",['Madhouse'],All-Time
Re:Zero kara Hajimeru Isekai Seikatsu 4th Season,9.17,2026-04-08,19,"['Drama', 'Fantasy', 'Isekai', 'Psychological', 'Suspense', 'Time Travel']",['White Fox'],Both Eras
Fullmetal Alchemist: Brotherhood,9.11,2009-04-05,64,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Military', 'Shounen']",['Bones'],All-Time
Steel Ball Run: JoJo no Kimyou na Bouken,9.11,2026-03-19,0,"['Action', 'Adventure', 'Historical', 'Mystery', 'Racing', 'Seinen', 'Shounen', 'Supernatural']",['David Production'],Both Eras
Chainsaw Man Movie: Reze-hen,9.07,2025-09-19,1,"['Action', 'Fantasy', 'Gore', 'Shounen', 'Urban Fantasy']",['MAPPA'],All-Time
Steins;Gate,9.07,2011-04-06,24,"['Drama', 'Psychological', 'Sci-Fi', 'Suspense', 'Time Travel']",['White Fox'],All-Time
Gintama: The Final,9.05,2021-01-08,1,"['Action', 'Comedy', 'Drama', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Gintama°,9.05,2015-04-08,51,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Shingeki no Kyojin Season 3 Part 2,9.05,2019-04-29,10,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Wit Studio'],All-Time
Hunter x Hunter (2011),9.03,2011-10-02,148,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Madhouse'],All-Time
Ginga Eiyuu Densetsu,9.02,1988-01-08,110,"['Adult Cast', 'Drama', 'Military', 'Sci-Fi', 'Space']","['K-Factory', 'Kitty Film Mitaka Studio']",All-Time
Gintama',9.02,2011-04-04,51,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
Gintama': Enchousen,9.02,2012-10-04,13,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
One Piece Fan Letter,9.01,2024-10-20,1,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Toei Animation'],All-Time
Bleach: Sennen Kessen-hen,8.98,2022-10-11,13,"['Action', 'Adventure', 'Shounen', 'Supernatural']",['Studio Pierrot'],All-Time
Gintama.,8.98,2017-01-09,12,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.95,2022-04-09,13,"['Comedy', 'Romance', 'School', 'Seinen']",['A-1 Pictures'],All-Time
Clannad: After Story,8.93,2008-10-03,24,"['Drama', 'Romance']",['Kyoto Animation'],All-Time
Fruits Basket: The Final,8.93,2021-04-06,13,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",['TMS Entertainment'],All-Time
Gintama,8.93,2006-04-04,201,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
Koe no Katachi,8.93,2016-09-17,1,"['Award Winning', 'Drama', 'Shounen']",['Kyoto Animation'],All-Time
Code Geass: Hangyaku no Lelouch R2,8.92,2008-04-06,25,"['Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Super Power']",['Sunrise'],All-Time
Kusuriya no Hitorigoto 2nd Season,8.91,2025-01-10,24,"['Drama', 'Historical', 'Medical', 'Mystery']","['OLM', 'TOHO animation STUDIO']",All-Time
3-gatsu no Lion 2nd Season,8.9,2017-10-14,22,"['Drama', 'Seinen', 'Strategy Game']",['Shaft'],All-Time
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.89,2013-07-06,1,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen', 'Time Travel']",['Sunrise'],All-Time
Monster,8.89,2004-04-07,74,"['Adult Cast', 'Drama', 'Mystery', 'Psychological', 'Seinen', 'Suspense']",['Madhouse'],All-Time
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2018-07-09,14,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Sousou no Frieren 2nd Season,8.87,2026-01-16,10,"['Adventure', 'Drama', 'Fantasy', 'Shounen']",['Madhouse'],All-Time
Owarimonogatari 2nd Season,8.86,2017-08-12,7,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",['Shaft'],All-Time
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.86,2023-03-04,2,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['MAPPA'],All-Time
Kingdom 3rd Season,8.85,2020-04-06,26,"['Action', 'Historical', 'Military', 'Seinen']","['Studio Pierrot', 'Studio Signpost']",All-Time
Kusuriya no Hitorigoto,8.85,2023-10-22,24,"['Drama', 'Historical', 'Medical', 'Mystery']","['OLM', 'TOHO animation STUDIO']",All-Time
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2024-11-08,1,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['MAPPA'],All-Time
Vinland Saga Season 2,8.83,2023-01-10,24,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",['MAPPA'],All-Time
Violet Evergarden Movie,8.83,2020-09-18,1,"['Award Winning', 'Drama']",['Kyoto Animation'],All-Time
Kimi no Na wa.,8.82,2016-08-26,1,"['Award Winning', 'Drama']",['CoMix Wave Films'],All-Time
Gintama. Shirogane no Tamashii-hen,8.81,2018-01-08,12,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
Ashita no Joe 2,8.8,1980-10-13,47,"['Combat Sports', 'Drama', 'Shounen', 'Sports']",['Tokyo Movie Shinsha'],All-Time
Shingeki no Kyojin: The Final Season,8.79,2020-12-07,16,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['MAPPA'],All-Time
Hajime no Ippo,8.78,2000-10-04,75,"['Combat Sports', 'Shounen', 'Sports']",['Madhouse'],All-Time
Kizumonogatari III: Reiketsu-hen,8.78,2017-01-06,1,"['Action', 'Mystery', 'Supernatural', 'Vampire']",['Shaft'],All-Time
Mob Psycho 100 II,8.78,2019-01-07,13,"['Action', 'Comedy', 'Supernatural']",['Bones'],All-Time
Vinland Saga,8.78,2019-07-08,24,"['Action', 'Adventure', 'Drama', 'Gore', 'Historical', 'Seinen']",['Wit Studio'],All-Time
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2016-10-08,10,"['School', 'Shounen', 'Sports', 'Team Sports']",['Production I.G'],All-Time
Sen to Chihiro no Kamikakushi,8.77,2001-07-20,1,"['Adventure', 'Award Winning', 'Fantasy', 'Mythology']",['Studio Ghibli'],All-Time
Shingeki no Kyojin: The Final Season Part 2,8.77,2022-01-10,12,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['MAPPA'],All-Time
Monogatari Series: Second Season,8.76,2013-07-07,26,"['Comedy', 'Mystery', 'Romance', 'Supernatural', 'Vampire']",['Shaft'],All-Time
Cowboy Bebop,8.75,1998-04-03,26,"['Action', 'Adult Cast', 'Award Winning', 'Sci-Fi', 'Space']",['Sunrise'],All-Time
Takopii no Genzai,8.75,2025-06-28,6,"['Drama', 'Psychological', 'Sci-Fi', 'Shounen', 'Time Travel']",['Enishiya'],All-Time
Ikoku Nikki,8.74,2026-01-04,13,"['Drama', 'Josei']",['Shuka'],All-Time
Bocchi the Rock!,8.73,2022-10-09,12,"['CGDCT', 'Comedy', 'Music']",['CloverWorks'],All-Time
Hibike! Euphonium 3,8.73,2024-04-07,13,"['Drama', 'Music', 'Performing Arts', 'School']",['Kyoto Animation'],All-Time
Kingdom 4th Season,8.73,2022-04-10,26,"['Action', 'Historical', 'Military', 'Seinen']","['Studio Pierrot', 'Studio Signpost']",All-Time
One Piece,8.73,1999-10-20,0,"['Action', 'Adventure', 'Fantasy', 'Shounen']",['Toei Animation'],Both Eras
86 Part 2,8.72,2021-10-03,12,"['Drama', 'Mecha', 'Military', 'Sci-Fi']",['A-1 Pictures'],All-Time
Chi. Chikyuu no Undou ni Tsuite,8.72,2024-10-05,25,"['Drama', 'Historical', 'Seinen']",['Madhouse'],All-Time
Kingdom 5th Season,8.72,2024-01-14,13,"['Action', 'Historical', 'Military', 'Seinen']","['Studio Pierrot', 'Studio Signpost']",All-Time
Mob Psycho 100 III,8.72,2022-10-06,12,"['Action', 'Comedy', 'Supernatural']",['Bones'],All-Time
Mushishi Zoku Shou 2nd Season,8.72,2014-10-19,10,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",['Artland'],All-Time
Boku no Hero Academia: Final Season,8.71,2025-10-04,11,"['Action', 'School', 'Shounen', 'Super Power']",['Bones Film'],All-Time
Code Geass: Hangyaku no Lelouch,8.71,2006-10-06,25,"['Award Winning', 'Drama', 'Mecha', 'Military', 'School', 'Sci-Fi', 'Super Power']",['Sunrise'],All-Time
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.71,2022-12-17,1,"['Comedy', 'Drama', 'Romance', 'School', 'Seinen']",['A-1 Pictures'],All-Time
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.7,2023-07-08,13,"['Action', 'Adventure', 'Shounen', 'Supernatural']",['Studio Pierrot'],All-Time
Jujutsu Kaisen 2nd Season,8.7,2023-07-06,23,"['Action', 'Gore', 'School', 'Shounen', 'Supernatural']",['MAPPA'],All-Time
Shiguang Dailiren,8.7,2021-04-30,11,"['Adult Cast', 'Drama', 'Mystery', 'Super Power', 'Suspense', 'Time Travel']",['LAN Studio'],All-Time
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.7,2017-01-07,12,"['Adult Cast', 'Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']",['Studio Deen'],All-Time
The First Slam Dunk,8.7,2022-12-03,1,"['Award Winning', 'School', 'Shounen', 'Sports', 'Team Sports']","['Toei Animation', 'DandeLion Animation Studio']",All-Time
[Oshi no Ko] 3rd Season,8.7,2026-01-14,11,"['Drama', 'Reincarnation', 'Seinen', 'Showbiz']",['Doga Kobo'],All-Time
Kimetsu no Yaiba: Yuukaku-hen,8.69,2021-12-05,11,"['Action', 'Historical', 'Shounen', 'Supernatural']",['ufotable'],All-Time
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,1999-02-20,4,"['Action', 'Adult Cast', 'Drama', 'Historical', 'Romance', 'Samurai', 'Shounen']",['Studio Deen'],All-Time
Violet Evergarden,8.69,2018-01-11,13,['Drama'],['Kyoto Animation'],All-Time
Boku no Kokoro no Yabai Yatsu 2nd Season,8.68,2024-01-07,13,"['Comedy', 'Romance', 'School', 'Shounen']",['Shin-Ei Animation'],All-Time
Great Teacher Onizuka,8.68,1999-06-30,43,"['Comedy', 'Delinquents', 'School', 'Shounen', 'Workplace']",['Studio Pierrot'],All-Time
Mushishi Zoku Shou,8.68,2014-04-05,10,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",['Artland'],All-Time
Tongari Boushi no Atelier,8.68,2026-04-06,13,"['Fantasy', 'Seinen']",['BUG FILMS'],Both Eras
Bleach: Sennen Kessen-hen - Soukoku-tan,8.67,2024-10-05,14,"['Action', 'Adventure', 'Shounen', 'Supernatural']",['Pierrot Films'],All-Time
Hajime no Ippo: New Challenger,8.67,2009-01-07,26,"['Combat Sports', 'Shounen', 'Sports']",['Madhouse'],All-Time
Howl no Ugoku Shiro,8.67,2004-11-20,1,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",['Studio Ghibli'],All-Time
Kingdom 6th Season,8.67,2025-10-05,13,"['Action', 'Historical', 'Military', 'Seinen']","['Studio Pierrot', 'Studio Signpost']",All-Time
Mononoke Hime,8.67,1997-07-12,1,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",['Studio Ghibli'],All-Time
Tu Bian Yingxiong X,8.67,2025-04-06,24,"['Action', 'Super Power']","['Pb Animation', 'LAN Studio', 'Paper Plane Animation Studio', 'B.COOL STUDIO']",All-Time
Uma Musume: Cinderella Gray Part 2,8.67,2025-10-05,10,"['Anthropomorphic', 'Drama', 'Racing', 'Seinen', 'Sports']",['CygamesPictures'],All-Time
Kimetsu no Yaiba Movie 1: Mugenjou-hen - Akaza Sairai,8.66,2025-07-18,1,"['Action', 'Award Winning', 'Historical', 'Shounen', 'Supernatural']",['ufotable'],All-Time
Mo Dao Zu Shi: Wanjie Pian,8.66,2021-08-07,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mystery', 'Mythology', 'Reincarnation']",['B.CMAY PICTURES'],All-Time
Luo Xiaohei Zhanji 2,8.65,2025-07-18,1,"['Adventure', 'Drama', 'Fantasy']",['HMCH'],All-Time
Mushishi,8.65,2005-10-23,26,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",['Artland'],All-Time
Shingeki no Kyojin Season 3,8.65,2018-07-23,12,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Wit Studio'],All-Time
Monogatari Series: Off & Monster Season,8.64,2024-07-06,14,"['Comedy', 'Mystery', 'Supernatural', 'Vampire']",['Shaft'],All-Time
Shigatsu wa Kimi no Uso,8.64,2014-10-10,22,"['Drama', 'Love Polygon', 'Music', 'Performing Arts', 'Romance', 'School', 'Shounen']",['A-1 Pictures'],All-Time
Tengen Toppa Gurren Lagann,8.64,2007-04-01,27,"['Adventure', 'Award Winning', 'Mecha', 'Sci-Fi']",['Gainax'],All-Time
Tian Guan Cifu Er,8.64,2023-10-18,12,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",['Red Dog Culture House'],All-Time
Uma Musume: Pretty Derby - Shin Jidai no Tobira,8.64,2024-05-24,1,"['Anthropomorphic', 'Racing', 'Sports']",['CygamesPictures'],All-Time
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.63,2020-08-15,1,"['Action', 'Fantasy', 'Urban Fantasy']",['ufotable'],All-Time
Natsume Yuujinchou Shi,8.63,2012-01-03,13,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']","[""Brain's Base""]",All-Time
Odd Taxi,8.63,2021-04-06,13,"['Adult Cast', 'Anthropomorphic', 'Award Winning', 'Drama', 'Mystery', 'Organized Crime', 'Suspense']","['OLM', 'P.I.C.S.']",All-Time
Ping Pong the Animation,8.63,2014-04-11,11,"['Award Winning', 'Drama', 'Seinen', 'Sports']",['Tatsunoko Production'],All-Time
Shiguang Dailiren II,8.63,2023-07-14,12,"['Adult Cast', 'Drama', 'Mystery', 'Super Power', 'Suspense', 'Time Travel']",['LAN Studio'],All-Time
Cyberpunk: Edgerunners,8.62,2022-09-13,10,"['Action', 'Gore', 'Organized Crime', 'Sci-Fi']",['Trigger'],All-Time
Death Note,8.62,2006-10-04,37,"['Psychological', 'Shounen', 'Supernatural', 'Suspense']",['Madhouse'],All-Time
Haikyuu!! Movie: Gomisuteba no Kessen,8.62,2024-02-16,1,"['School', 'Shounen', 'Sports', 'Team Sports']",['Production I.G'],All-Time
Jujutsu Kaisen: Shimetsu Kaiyuu - Zenpen,8.62,2026-01-09,12,"['Action', 'Shounen', 'Supernatural']",['MAPPA'],All-Time
Look Back,8.62,2024-06-28,1,"['Award Winning', 'Drama', 'Otaku Culture', 'Shounen']",['Studio DURIAN'],All-Time
Made in Abyss,8.62,2017-07-07,13,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",['Kinema Citrus'],All-Time
Guimi Zhi Zhu: Xiaochou Pian,8.61,2025-06-28,13,"['Action', 'Adult Cast', 'Fantasy', 'Isekai', 'Mystery', 'Suspense']",['B.CMAY PICTURES'],All-Time
Haikyuu!! Second Season,8.61,2015-10-04,25,"['School', 'Shounen', 'Sports', 'Team Sports']",['Production I.G'],All-Time
Hajime no Ippo: Rising,8.61,2013-10-06,25,"['Combat Sports', 'Shounen', 'Sports']","['Madhouse', 'MAPPA']",All-Time
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.61,2020-04-11,12,"['Comedy', 'Romance', 'School', 'Seinen']",['A-1 Pictures'],All-Time
Kenpuu Denki Berserk,8.61,1997-10-08,25,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Gore', 'Horror', 'Military', 'Psychological', 'Seinen']",['OLM'],All-Time
Natsume Yuujinchou Roku,8.61,2017-04-12,11,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",['Shuka'],All-Time
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.61,2009-04-22,1,"['Mecha', 'Sci-Fi', 'Space', 'Super Power']",['Gainax'],All-Time
Bungou Stray Dogs 5th Season,8.6,2023-07-12,11,"['Action', 'Adult Cast', 'Detective', 'Mystery', 'Organized Crime', 'Seinen', 'Super Power', 'Vampire']",['Bones'],All-Time
Chiikawa,8.6,2022-04-04,0,['Slice of Life'],['Doga Kobo'],Both Eras
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.6,2020-01-17,1,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",['Kinema Citrus'],All-Time
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.6,2021-10-04,12,"['Adventure', 'Drama', 'Ecchi', 'Fantasy', 'Isekai', 'Reincarnation']",['Studio Bind'],All-Time
Dungeon Meshi,8.59,2024-01-04,24,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet', 'Seinen']",['Trigger'],All-Time
Made in Abyss: Retsujitsu no Ougonkyou,8.59,2022-07-06,12,"['Adventure', 'Drama', 'Fantasy', 'Gore', 'Mystery', 'Sci-Fi']",['Kinema Citrus'],All-Time
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59,2019-06-15,1,"['Drama', 'Romance', 'School', 'Supernatural']",['CloverWorks'],All-Time
Suzumiya Haruhi no Shoushitsu,8.59,2010-02-06,1,"['Award Winning', 'Mystery', 'School', 'Sci-Fi', 'Supernatural']",['Kyoto Animation'],All-Time
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,2018-10-06,39,"['Action', 'Adventure', 'Organized Crime', 'Shounen', 'Super Power']",['David Production'],All-Time
Mushishi Zoku Shou: Suzu no Shizuku,8.58,2015-05-16,1,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",['Artland'],All-Time
Shin Evangelion Movie:||,8.58,2021-03-08,1,"['Award Winning', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']",['Khara'],All-Time
Uma Musume: Cinderella Gray,8.58,2025-04-06,13,"['Anthropomorphic', 'Drama', 'Racing', 'Seinen', 'Sports']",['CygamesPictures'],All-Time
Doupo Cangqiong: San Nian Zhi Yue,8.57,2021-10-31,13,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['Motion Magic'],All-Time
Nana,8.57,2006-04-05,47,"['Adult Cast', 'Drama', 'Love Polygon', 'Music', 'Romance', 'Shoujo']",['Madhouse'],All-Time
Natsume Yuujinchou Shichi,8.57,2024-10-08,12,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",['Shuka'],All-Time
Shingeki no Kyojin,8.57,2013-04-07,25,"['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Wit Studio'],All-Time
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.57,1997-07-19,1,"['Avant Garde', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi', 'Suspense']","['Gainax', 'Production I.G']",All-Time
Super no Ura de Yani Suu Futari,8.57,2026-06-03,0,"['Adult Cast', 'Love Status Quo', 'Romance', 'Seinen']",['Asahi Production'],Both Eras
Haikyuu!! To the Top Part 2,8.56,2020-10-03,12,"['School', 'Shounen', 'Sports', 'Team Sports']",['Production I.G'],All-Time
Kizumonogatari II: Nekketsu-hen,8.56,2016-08-19,1,"['Action', 'Mystery', 'Supernatural', 'Vampire']",['Shaft'],All-Time
Natsume Yuujinchou Go,8.56,2016-10-05,11,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']",['Shuka'],All-Time
Natsume Yuujinchou San,8.56,2011-07-05,13,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']","[""Brain's Base""]",All-Time
Ookami Kodomo no Ame to Yuki,8.56,2012-07-21,1,"['Award Winning', 'Childcare', 'Slice of Life', 'Supernatural']",['Studio Chizu'],All-Time
Perfect Blue,8.56,1998-02-28,1,"['Adult Cast', 'Avant Garde', 'Award Winning', 'Drama', 'Horror', 'Psychological', 'Showbiz', 'Suspense']",['Madhouse'],All-Time
Slam Dunk,8.56,1993-10-16,101,"['School', 'Shounen', 'Sports', 'Team Sports']",['Toei Animation'],All-Time
Kimi no Suizou wo Tabetai,8.55,2018-09-01,1,"['Drama', 'Romance', 'School']",['Studio VOLN'],All-Time
Steins;Gate 0,8.55,2018-04-12,23,"['Drama', 'Sci-Fi', 'Suspense', 'Time Travel']",['White Fox'],All-Time
Yojouhan Shinwa Taikei,8.55,2010-04-23,11,"['Adult Cast', 'Award Winning', 'Comedy', 'Mystery', 'Psychological', 'Romance', 'Suspense', 'Time Travel']",['Madhouse'],All-Time
Fanren Xiu Xian Zhuan 4th Season,8.54,2025-01-18,52,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']","['Original Force', 'Wonder Cat Animation']",All-Time
Fate/Zero 2nd Season,8.54,2012-04-08,12,"['Action', 'Fantasy', 'Urban Fantasy']",['ufotable'],All-Time
Hotaru no Haka,8.54,1988-04-16,1,"['Drama', 'Historical']",['Studio Ghibli'],All-Time
Shingeki no Kyojin Season 2,8.54,2017-04-01,12,"['Action', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Wit Studio'],All-Time
Shouwa Genroku Rakugo Shinjuu,8.54,2016-01-09,13,"['Drama', 'Historical', 'Josei', 'Love Polygon', 'Performing Arts']",['Studio Deen'],All-Time
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.53,2020-10-16,1,"['Action', 'Historical', 'Shounen', 'Supernatural']",['ufotable'],All-Time
Mushishi: Hihamukage,8.53,2014-01-04,1,"['Adult Cast', 'Adventure', 'Historical', 'Iyashikei', 'Mystery', 'Seinen', 'Slice of Life', 'Supernatural']",['Artland'],All-Time
Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.53,2025-01-05,13,"['Action', 'Adult Cast', 'Adventure', 'Fantasy', 'Urban Fantasy']",['A-1 Pictures'],All-Time
Zoku Natsume Yuujinchou,8.53,2009-01-06,13,"['Iyashikei', 'Mythology', 'Shoujo', 'Slice of Life', 'Supernatural']","[""Brain's Base""]",All-Time
[Oshi no Ko],8.53,2023-04-12,11,"['Award Winning', 'Drama', 'Reincarnation', 'Seinen', 'Showbiz']",['Doga Kobo'],All-Time
Fruits Basket 2nd Season,8.52,2020-04-07,25,"['Drama', 'Romance', 'School', 'Shoujo', 'Supernatural']",['TMS Entertainment'],All-Time
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,2010-04-24,1,"['Action', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Sunrise'],All-Time
Kaguya-sama wa Kokurasetai: Otona e no Kaidan,8.52,2025-12-31,1,"['Comedy', 'Romance', 'School', 'Seinen']",['A-1 Pictures'],All-Time
Samurai Champloo,8.52,2004-05-20,26,"['Action', 'Adventure', 'Comedy', 'Historical', 'Samurai']",['Manglobe'],All-Time
Shoujo☆Kageki Revue Starlight Movie,8.52,2021-06-04,1,"['Drama', 'Music', 'Performing Arts', 'School']",['Kinema Citrus'],All-Time
Bakuman. 3rd Season,8.51,2012-10-06,25,"['Comedy', 'Drama', 'Otaku Culture', 'Romance', 'Shounen']",['J.C.Staff'],All-Time
Dr. Stone: Science Future Part 2,8.51,2025-07-10,12,"['Adventure', 'Comedy', 'Shounen']",['TMS Entertainment'],All-Time
Gintama. Porori-hen,8.51,2017-10-02,13,"['Action', 'Comedy', 'Gag Humor', 'Historical', 'Parody', 'Samurai', 'Sci-Fi', 'Shounen']",['Bandai Namco Pictures'],All-Time
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.51,2016-04-02,39,"['Action', 'Adventure', 'Shounen', 'Super Power']",['David Production'],All-Time
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.51,2022-12-01,14,"['Action', 'Adventure', 'Shounen', 'Super Power']",['David Production'],All-Time
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.51,2004-01-01,26,"['Adult Cast', 'Detective', 'Mecha', 'Military', 'Mystery', 'Sci-Fi', 'Seinen']",['Production I.G'],All-Time
Nippon Sangoku,8.51,2026-04-07,12,"['Drama', 'Military']",['Studio Kafka'],Both Eras
[Oshi no Ko] 2nd Season,8.51,2024-07-03,13,"['Drama', 'Reincarnation', 'Seinen', 'Showbiz']",['Doga Kobo'],All-Time
Given Movie 3: Umi e,8.5,2024-09-20,1,"['Boys Love', 'Drama', 'Music']",['Lerche'],All-Time
Grand Blue Season 2,8.5,2025-07-08,12,"['Adult Cast', 'Comedy', 'Gag Humor', 'Seinen']","['Zero-G', 'Liber']",All-Time
Jujutsu Kaisen,8.5,2020-10-03,24,"['Action', 'Award Winning', 'School', 'Shounen', 'Supernatural']",['MAPPA'],All-Time
Kaoru Hana wa Rin to Saku,8.5,2025-07-06,13,"['Drama', 'Romance', 'School']",['CloverWorks'],All-Time
Kara no Kyoukai Movie 5: Mujun Rasen,8.5,2008-08-16,1,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Romance', 'Suspense', 'Urban Fantasy']",['ufotable'],All-Time
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.5,2013-10-26,1,"['Award Winning', 'Drama', 'Mahou Shoujo', 'Psychological', 'Suspense']",['Shaft'],All-Time
Sora yori mo Tooi Basho,8.5,2018-01-02,13,"['Adventure', 'CGDCT', 'Comedy', 'Drama']",['Madhouse'],All-Time
Tian Guan Cifu Short Films,8.5,2025-02-12,0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Historical', 'Mythology']",['Red Dog Culture House'],Both Eras
Xian Ni,8.5,2023-09-25,180,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['BUILD DREAM'],Both Eras
Yuru Camp△ Season 2,8.5,2021-01-07,13,"['CGDCT', 'Iyashikei', 'Slice of Life']",['C-Station'],All-Time
Dorohedoro Season 2,8.49,2026-04-01,11,"['Action', 'Comedy', 'Fantasy', 'Gore', 'Horror', 'Seinen']",['MAPPA'],All-Time
Mob Psycho 100,8.49,2016-07-11,12,"['Action', 'Comedy', 'Supernatural']",['Bones'],All-Time
