Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Ni Tian Zhizun,7.3,2021-07-16,580,"['Action', 'Fantasy', 'Martial Arts']",['Suoyi Technology'],Recent/Airing
Touhou Niji Sousaku Doujin Anime: Musou Kakyou,7.3,2008-12-29,0,"['Fantasy', 'Vampire']",['Maikaze'],Recent/Airing
Girigiri Warukunai Watame,7.24,2022-01-07,0,['Comedy'],['Hololive Production'],Recent/Airing
Re:Zero kara Hajimeru Break Time 4th Season,7.23,2026-04-08,0,['Comedy'],['Studio PuYUKAI'],Recent/Airing
Wu Shang Shen Di 2nd Season,7.22,2021-05-21,0,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['Ruo Hong Culture'],Recent/Airing
Oneechan Gokko,7.2,2026-01-31,3,"['Mystery', 'Psychological', 'Supernatural', 'Suspense']",['Studio Gohan'],Recent/Airing
Dan Dao Zhizun,7.18,2023-12-22,0,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']","['Ruo Hong Culture', 'Manhoo Culture']",Recent/Airing
Wan Jie Du Zun 3rd Season,7.17,2024-11-30,224,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts']",['Ruo Hong Culture'],Recent/Airing
Digimon Beatbreak,7.14,2025-10-05,0,"['Action', 'Fantasy', 'Sci-Fi']",['Toei Animation'],Recent/Airing
Higeki no Genkyou to Naru Saikyou Gedou Last Boss Joou wa Tami no Tame ni Tsukushimasu. Season 2,7.12,2026-04-07,12,"['Fantasy', 'Isekai', 'Josei', 'Villainess']",['OLM'],Recent/Airing
Nintama Rantarou,7.1,1993-04-10,0,"['Comedy', 'Kids']","['Ajia-do', 'Gakken']",Recent/Airing
Shenkong Bi An,7.1,2026-01-16,26,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Motion Magic'],Recent/Airing
Mao,7.04,2026-04-04,0,"['Historical', 'Mystery', 'Mythology', 'Shounen', 'Supernatural', 'Time Travel']",['Sunrise'],Recent/Airing
Da Zhuzai: Nian Fan 2,7.0,2026-01-09,52,"['Action', 'Adventure', 'Fantasy', 'Historical', 'Martial Arts', 'Romance']",['Motion Magic'],Recent/Airing
"Replica datte, Koi wo Suru.",7.0,2026-04-07,13,"['Drama', 'Romance', 'School', 'Supernatural']",['Voil'],Recent/Airing
GANSO! BanG Dream Chan,6.97,2025-10-02,52,['Music'],[],Recent/Airing
Nikenichi! Non Non Zenshou Kichi,6.96,2026-05-22,0,"['Comedy', 'Sci-Fi']",[],Recent/Airing
Doraemon (2005) Specials,6.95,2005-04-15,0,"['Comedy', 'Seinen']",['Shin-Ei Animation'],Recent/Airing
Ling Wu Dalu,6.91,2024-07-26,0,"['Action', 'Adventure', 'Fantasy', 'Reincarnation']",['Suoyi Technology'],Recent/Airing
Kanan-sama wa Akumade Choroi,6.9,2026-04-05,12,"['Comedy', 'Ecchi', 'Romance', 'School', 'Shounen', 'Supernatural']",['Studio KAI'],Recent/Airing
Panlong,6.9,2026-04-30,20,"['Action', 'Adventure', 'Fantasy']","['CG Year', 'Qingkong Qian Li']",Recent/Airing
Wei Miao Rensheng,6.89,2025-11-11,36,"['Pets', 'Romance', 'Supernatural', 'Workplace']",['Paper Plane Animation Studio'],Recent/Airing
Beyblade X,6.88,2023-10-06,0,"['Adventure', 'Kids', 'Sports']",['OLM'],Recent/Airing
Girls und Panzer: Motto Love Love Sakusen desu! Specials,6.84,2025-12-26,0,"['Comedy', 'School', 'Seinen']","['Actas', 'P.A. Works']",Recent/Airing
Awajima Hyakkei,6.82,2026-04-10,12,"['Drama', 'Performing Arts', 'School']",['Madhouse'],Recent/Airing
Himekishi wa Barbaroi no Yome,6.82,2026-04-09,12,"['Comedy', 'Fantasy', 'Romance', 'Shounen']",['Jumondou'],Recent/Airing
Crayon Shin-chan Specials,6.81,1992-12-28,0,"['Comedy', 'Ecchi', 'School', 'Seinen']",['Shin-Ei Animation'],Recent/Airing
Needy Girl Overdose,6.75,2026-04-05,13,"['Avant Garde', 'Otaku Culture', 'Psychological']",['Yostar Pictures'],Recent/Airing
