Title,Score,Release_Date,Volumes,Genres,Authors,Era_Category
Tobaku Datenroku Kaiji: One Poker-hen,8.61,2013-06-03,16,"['Adult Cast', 'Drama', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game']",['Nobuyuki Fukumoto'],Both Eras
Overlord,8.61,2012-07-30,0,"['Action', 'Fantasy', 'Isekai']","['Kugane Maruyama', 'so-bin']",All-Time
Blue Period,8.61,2017-06-24,0,"['Award Winning', 'Drama', 'Eligible Titles for You Should Read This', 'School', 'Seinen', 'Visual Arts']",['Tsubasa Yamaguchi'],Both Eras
Seasons of Blossom,8.61,2020-06-24,12,"['Love Polygon', 'Romance']","['Hongduck', 'NEMONE']",All-Time
Skip to Loafer,8.6,2018-08-25,0,"['Award Winning', 'Drama', 'Eligible Titles for You Should Read This', 'School', 'Seinen']",['Misaki Takamatsu'],Both Eras
Kimi ni Okuru Eien,8.6,2024-02-17,1,['Girls Love'],['Yuama'],Both Eras
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",8.59,2017-10-20,4,['Romance'],['Miku Morinaga'],Both Eras
The Legend of the Northern Blade,8.59,2019-12-31,0,"['Action', 'Adventure', 'Fantasy', 'Martial Arts']","['Woogack', 'Min Hae']",All-Time
Shinseiki Evangelion,8.59,1994-12-26,14,"['Action', 'Drama', 'Mecha', 'Mystery', 'Psychological', 'Sci-Fi', 'Seinen', 'Shounen', 'Suspense']",['Yoshiyuki Sadamoto'],Both Eras
Hi no Tori,8.59,1966-12-20,16,"['Drama', 'Fantasy', 'Historical', 'Psychological', 'Romance', 'Sci-Fi', 'Shounen', 'Space', 'Supernatural']",['Osamu Tezuka'],Both Eras
Billy Bat,8.59,2008-10-16,20,"['Detective', 'Drama', 'Historical', 'Mystery', 'Psychological', 'Seinen', 'Supernatural']","['Naoki Urasawa', 'Takashi Nagasaki']",Both Eras
Chihayafuru,8.59,2007-12-28,50,"['Award Winning', 'Drama', 'Josei', 'Love Polygon', 'Romance', 'Strategy Game']",['Yuki Suetsugu'],Both Eras
Shigatsu wa Kimi no Uso,8.59,2011-04-06,11,"['Award Winning', 'Drama', 'Music', 'Romance', 'School', 'Shounen']",['Naoshi Arakawa'],Both Eras
Diamond no Ace Act II,8.58,2015-08-19,34,"['School', 'Shounen', 'Sports', 'Team Sports']",['Yuuji Terajima'],Both Eras
Kara no Kyoukai: The Garden of Sinners,8.57,1998-10,2,"['Action', 'Fantasy', 'Mystery', 'Psychological', 'Urban Fantasy']","['Type-Moon', 'Kinoko Nasu', 'Takashi Takeuchi']",All-Time
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.57,1992-04-21,18,"['Action', 'Shounen', 'Supernatural']",['Hirohiko Araki'],Both Eras
Otoyomegatari,8.57,2008-10-14,0,"['Award Winning', 'Historical', 'Romance', 'Seinen']",['Kaoru Mori'],Both Eras
Wind Breaker,8.57,2013-12-15,0,"['Drama', 'Sports']",['Yongseok Jo'],All-Time
19 Tian,8.57,2018-10-19,0,"['Boys Love', 'Comedy']",['Old Xian'],All-Time
Hirayasumi,8.57,2021-04-26,0,"['Eligible Titles for You Should Read This', 'Seinen', 'Slice of Life']",['Keigo Shinzou'],Both Eras
Solo Leveling,8.56,2018-03-04,0,"['Action', 'Adult Cast', 'Adventure', 'Fantasy', 'Urban Fantasy']","['Chugong', 'Sung-rak Jang', 'Disciples']",All-Time
Nan Hao Shang Feng,8.56,2021-04-30,0,"['Comedy', 'School']",['Brownie'],All-Time
Pandora Hearts,8.56,2006-05-18,24,"['Adventure', 'Fantasy', 'Mystery', 'Shounen']",['Jun Mochizuki'],Both Eras
Shingeki no Kyojin,8.56,2009-09-09,34,"['Action', 'Award Winning', 'Drama', 'Gore', 'Military', 'Shounen', 'Survival', 'Suspense']",['Hajime Isayama'],Both Eras
Umineko no Naku Koro ni,8.56,2009-07-01,8,"['Fantasy', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']","['Ryukishi07', 'Tomohi']",All-Time
The Fable,8.56,2014-11-01,22,"['Adult Cast', 'Award Winning', 'Comedy', 'Organized Crime', 'Seinen', 'Suspense']",['Katsuhisa Minami'],Both Eras
Skip Beat!,8.55,2002-02-15,0,"['Comedy', 'Drama', 'Love Polygon', 'Romance', 'Shoujo', 'Showbiz']",['Yoshiki Nakamura'],Both Eras
Ping Pong,8.55,1996,5,"['Drama', 'Seinen', 'Sports']",['Taiyou Matsumoto'],Both Eras
Kamisama Hajimemashita,8.55,2008-02-20,25,"['Comedy', 'Mythology', 'Romance', 'Shoujo', 'Supernatural']",['Julietta Suzuki'],Both Eras
Tokyo Ghoul,8.55,2011-09-08,14,"['Action', 'Fantasy', 'Gore', 'Horror', 'Psychological', 'Seinen', 'Urban Fantasy']",['Sui Ishida'],Both Eras
Monogatari Series: Off Season,8.55,2015-10-05,4,"['Comedy', 'Drama', 'Mystery', 'Supernatural', 'Vampire']","['ISIN NISIO', 'VOFAN']",All-Time
Jibaku Shounen Hanako-kun,8.55,2014-12-18,0,"['Eligible Titles for You Should Read This', 'School', 'Shounen', 'Supernatural']",['Iro Aida'],Both Eras
Kidou Senshi Gundam: The Origin,8.54,2001-06-25,24,"['Action', 'Award Winning', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Shounen', 'Space']","['Yoshikazu Yasuhiko', 'Yoshiyuki Tomino']",Both Eras
Baccano!,8.54,2003-02-10,22,"['Action', 'Fantasy', 'Mystery', 'Organized Crime']","['Ryohgo Narita', 'Katsumi Enami']",All-Time
Suzumiya Haruhi Series,8.54,2003-06-06,0,"['Comedy', 'Drama', 'School', 'Sci-Fi', 'Supernatural']","['Nagaru Tanigawa', 'Noizi Itou']",All-Time
One Outs,8.54,1998-11-14,20,"['Adult Cast', 'Psychological', 'Seinen', 'Sports', 'Team Sports']",['Shinobu Kaitani'],Both Eras
Umineko no Naku Koro ni Chiru - Episode 5: End of the Golden Witch,8.54,2010-10-22,6,"['Drama', 'Fantasy', 'Horror', 'Mystery', 'Psychological', 'Shounen', 'Supernatural', 'Suspense']","['Ryukishi07', 'Akitaka']",Both Eras
Steins;Gate,8.54,2011-06-30,5,"['Sci-Fi', 'Suspense']","['Kyuuta Sakai', 'Kiyomune Miwa']",All-Time
Umineko no Naku Koro ni Chiru,8.54,2012-07-13,7,"['Fantasy', 'Horror', 'Mystery', 'Psychological', 'Supernatural', 'Suspense']","['Ryukishi07', 'Tomohi']",All-Time
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,8.54,2014-11-01,5,"['Drama', 'Fantasy', 'Romance', 'Sci-Fi']","['Akira Kareno', 'ue']",All-Time
Shimeji Simulation,8.54,2019-01-26,5,"['School', 'Slice of Life']",['Tsukumizu'],Both Eras
Webtoon Character Na Kang Lim,8.54,2021-05-04,0,"['Comedy', 'Harem', 'Romance', 'School', 'Supernatural', 'Time Travel']","['Kyeongmin Lee', 'Junhyeok Song']",All-Time
The Knight Only Lives Today,8.54,2024-05-17,0,"['Action', 'Fantasy', 'Time Travel']","['Soulpung', 'Ian']",All-Time
Rurouni Kenshin: Meiji Kenkaku Romantan,8.53,1994-04-12,28,"['Action', 'Drama', 'Historical', 'Samurai', 'Shounen']",['Nobuhiro Watsuki'],Both Eras
Fruits Basket,8.53,1998-07-18,23,"['Award Winning', 'Drama', 'Love Polygon', 'Romance', 'School', 'Shoujo', 'Supernatural']",['Natsuki Takaya'],Both Eras
Sasaki to Miyano,8.53,2016-02-26,0,"['Boys Love', 'Eligible Titles for You Should Read This', 'Otaku Culture', 'School']",['Shou Harusono'],Both Eras
Blue Giant,8.52,2013-05-10,10,"['Award Winning', 'Music', 'Seinen']",['Shinichi Ishizuka'],Both Eras
Amayo no Tsuki,8.52,2021-06-12,0,"['Drama', 'Eligible Titles for You Should Read This', 'Girls Love', 'School']",['Kuzushiro'],Both Eras
Eleceed,8.52,2018-10-02,0,"['Action', 'Super Power']","['Hye-Jin Kim', 'Jae-Ho Son']",All-Time
After School Lessons for Unripe Apples,8.52,2020-12-23,0,"['Romance', 'School']",['Soonkki'],All-Time
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 3-nensei-hen,8.52,2025-03-24,0,"['Drama', 'Psychological', 'School']","['Shunsaku Tomose', 'Shougo Kinugasa']",All-Time
Yagate Kimi ni Naru: Saeki Sayaka ni Tsuite,8.51,2018-11-10,3,"['Drama', 'Girls Love', 'School']","['Hitoma Iruma', 'Nio Nakatani']",All-Time
Mushoku Tensei: Dasoku-hen,8.51,2023-06-23,0,"['Fantasy', 'Isekai', 'Reincarnation', 'Slice of Life']","['Rifujin na Magonote', 'Sirotaka']",All-Time
Fate/Zero,8.51,2006-12-29,4,"['Action', 'Fantasy', 'Urban Fantasy']","['Takashi Takeuchi', 'Gen Urobuchi']",All-Time
Ouran Koukou Host Club,8.5,2002-07-24,18,"['Comedy', 'Crossdressing', 'Drama', 'Reverse Harem', 'Romance', 'School', 'Shoujo']",['Bisco Hatori'],Both Eras
Umineko no Naku Koro ni Chiru - Episode 6: Dawn of the Golden Witch,8.5,2010-11-18,6,"['Drama', 'Horror', 'Mystery', 'Shounen', 'Supernatural']","['Ryukishi07', 'Hinase Momoyama']",Both Eras
Sakamichi no Apollon,8.5,2007-09-28,9,"['Award Winning', 'Drama', 'Josei', 'Love Polygon', 'Music', 'Romance', 'School']",['Yuki Kodama'],Both Eras
The Boxer,8.5,2019-12-04,13,"['Combat Sports', 'Drama', 'Sports']",['Ji-Hoon Jeong'],All-Time
Bakemonogatari,8.49,2018-03-14,22,"['Action', 'Comedy', 'Drama', 'Mystery', 'Romance', 'Shounen', 'Supernatural', 'Vampire']","['Oh! Great', 'ISIN NISIO']",Both Eras
